source;target;interaction;directed;
I556;379;8;YANLIŞ;
I556;380;8;YANLIŞ;
I556;381;8;YANLIŞ;
I556;382;8;YANLIŞ;
I555;383;7;YANLIŞ;
I555;384;7;YANLIŞ;
I555;385;7;YANLIŞ;
I555;386;7;YANLIŞ;
I555;387;7;YANLIŞ;
I555;388;7;YANLIŞ;
I555;389;7;YANLIŞ;
I553;390;7;YANLIŞ;
I553;391;7;YANLIŞ;
I553;392;7;YANLIŞ;
I553;393;7;YANLIŞ;
I553;394;7;YANLIŞ;
I553;395;7;YANLIŞ;
I553;396;7;YANLIŞ;
I553;397;7;YANLIŞ;
I553;398;7;YANLIŞ;
I553;399;7;YANLIŞ;
I553;400;7;YANLIŞ;
I553;401;8;YANLIŞ;
I553;402;8;YANLIŞ;
I553;403;8;YANLIŞ;
I553;404;8;YANLIŞ;
I553;405;8;YANLIŞ;
I552;406;7;YANLIŞ;
I552;407;7;YANLIŞ;
I552;408;7;YANLIŞ;
I552;409;7;YANLIŞ;
I552;410;7;YANLIŞ;
I552;411;7;YANLIŞ;
I552;412;7;YANLIŞ;
I552;413;7;YANLIŞ;
I552;414;7;YANLIŞ;
I552;415;7;YANLIŞ;
I552;416;7;YANLIŞ;
I552;417;7;YANLIŞ;
I552;418;7;YANLIŞ;
I552;419;7;YANLIŞ;
I552;420;7;YANLIŞ;
I552;421;7;YANLIŞ;
I552;422;8;YANLIŞ;
I552;423;8;YANLIŞ;
I552;424;8;YANLIŞ;
I552;425;8;YANLIŞ;
I552;426;8;YANLIŞ;
I552;427;8;YANLIŞ;
I552;428;8;YANLIŞ;
I552;429;8;YANLIŞ;
I552;430;8;YANLIŞ;
I552;431;8;YANLIŞ;
I552;432;8;YANLIŞ;
I552;433;8;YANLIŞ;
I552;434;8;YANLIŞ;
I552;435;8;YANLIŞ;
I552;436;8;YANLIŞ;
I552;437;8;YANLIŞ;
I552;438;8;YANLIŞ;
I552;439;8;YANLIŞ;
I552;440;8;YANLIŞ;
I552;441;8;YANLIŞ;
I551;442;9;YANLIŞ;
I551;443;9;YANLIŞ;
I551;444;9;YANLIŞ;
I551;445;9;YANLIŞ;
I551;446;9;YANLIŞ;
I551;447;9;YANLIŞ;
I551;448;9;YANLIŞ;
I551;449;9;YANLIŞ;
I551;450;9;YANLIŞ;
I551;451;9;YANLIŞ;
I551;452;11;YANLIŞ;
I551;453;11;YANLIŞ;
I551;454;11;YANLIŞ;
I551;455;18;YANLIŞ;
I551;456;18;YANLIŞ;
I551;457;18;YANLIŞ;
I551;458;15;YANLIŞ;
I551;459;15;YANLIŞ;
I551;460;15;YANLIŞ;
I551;461;15;YANLIŞ;
I551;462;15;YANLIŞ;
I551;463;15;YANLIŞ;
I551;464;15;YANLIŞ;
I551;465;15;YANLIŞ;
I551;466;15;YANLIŞ;
I549;467;11;YANLIŞ;
I549;468;11;YANLIŞ;
I549;469;11;YANLIŞ;
I549;470;14;YANLIŞ;
I549;471;14;YANLIŞ;
I549;472;14;YANLIŞ;
I549;473;14;YANLIŞ;
I549;474;14;YANLIŞ;
I549;475;14;YANLIŞ;
I549;476;14;YANLIŞ;
I549;477;14;YANLIŞ;
I549;478;14;YANLIŞ;
I546;479;7;YANLIŞ;
I546;480;7;YANLIŞ;
I546;481;7;YANLIŞ;
I546;482;7;YANLIŞ;
I546;483;7;YANLIŞ;
I546;484;7;YANLIŞ;
I546;485;7;YANLIŞ;
I546;486;7;YANLIŞ;
I546;487;7;YANLIŞ;
I546;488;8;YANLIŞ;
I546;489;8;YANLIŞ;
I546;490;8;YANLIŞ;
I546;491;8;YANLIŞ;
I546;492;8;YANLIŞ;
I546;493;8;YANLIŞ;
I546;494;8;YANLIŞ;
I544;495;11;YANLIŞ;
I544;496;11;YANLIŞ;
I544;497;18;YANLIŞ;
I544;498;18;YANLIŞ;
I544;499;18;YANLIŞ;
I544;500;18;YANLIŞ;
I544;501;18;YANLIŞ;
I544;502;15;YANLIŞ;
I544;503;15;YANLIŞ;
I544;504;13;YANLIŞ;
I544;505;13;YANLIŞ;
I544;506;13;YANLIŞ;
I544;507;10;YANLIŞ;
I544;508;10;YANLIŞ;
I544;509;10;YANLIŞ;
I543;510;7;YANLIŞ;
I543;511;7;YANLIŞ;
I543;512;7;YANLIŞ;
I543;513;7;YANLIŞ;
I543;514;7;YANLIŞ;
I543;515;7;YANLIŞ;
I543;516;7;YANLIŞ;
I543;517;7;YANLIŞ;
I543;518;7;YANLIŞ;
I543;519;7;YANLIŞ;
I543;520;7;YANLIŞ;
I543;521;7;YANLIŞ;
I543;522;8;YANLIŞ;
I543;523;8;YANLIŞ;
I543;524;8;YANLIŞ;
I543;525;8;YANLIŞ;
I543;526;8;YANLIŞ;
I543;527;8;YANLIŞ;
I543;528;8;YANLIŞ;
I543;529;8;YANLIŞ;
I543;530;8;YANLIŞ;
I543;531;8;YANLIŞ;
I543;532;8;YANLIŞ;
I543;533;8;YANLIŞ;
I543;534;8;YANLIŞ;
I543;535;8;YANLIŞ;
I543;536;8;YANLIŞ;
I542;I541;7;YANLIŞ;
I542;I541;11;YANLIŞ;
I542;537;7;YANLIŞ;
I542;538;7;YANLIŞ;
I542;539;7;YANLIŞ;
I542;540;7;YANLIŞ;
I542;541;7;YANLIŞ;
I542;542;7;YANLIŞ;
I542;543;7;YANLIŞ;
I542;544;7;YANLIŞ;
I542;545;7;YANLIŞ;
I542;546;7;YANLIŞ;
I542;547;7;YANLIŞ;
I542;548;7;YANLIŞ;
I542;549;7;YANLIŞ;
I542;550;11;YANLIŞ;
I542;551;11;YANLIŞ;
I542;552;11;YANLIŞ;
I541;537;7;YANLIŞ;
I541;538;7;YANLIŞ;
I541;539;7;YANLIŞ;
I541;540;7;YANLIŞ;
I541;541;7;YANLIŞ;
I541;542;7;YANLIŞ;
I541;543;7;YANLIŞ;
I541;544;7;YANLIŞ;
I541;545;7;YANLIŞ;
I541;546;7;YANLIŞ;
I541;547;7;YANLIŞ;
I541;548;7;YANLIŞ;
I541;549;7;YANLIŞ;
I541;550;11;YANLIŞ;
I541;551;11;YANLIŞ;
I541;552;11;YANLIŞ;
I540;553;18;YANLIŞ;
I540;554;18;YANLIŞ;
I540;555;18;YANLIŞ;
I540;556;18;YANLIŞ;
I540;557;10;YANLIŞ;
I539;558;7;YANLIŞ;
I539;559;7;YANLIŞ;
I539;560;7;YANLIŞ;
I539;561;7;YANLIŞ;
I539;562;7;YANLIŞ;
I539;563;7;YANLIŞ;
